Removed Pin From Net: NetName=GND Pin=C8-1
Removed Pin From Net: NetName=S\H\D\N\ Pin=C8-2
Removed Pin From Net: NetName=GND Pin=C9-1
Removed Pin From Net: NetName=VOUT Pin=C9-2
Removed Pin From Net: NetName=Net*_2 Pin=CN1-1
Removed Pin From Net: NetName=Net*_5 Pin=F-1
Removed Pin From Net: NetName=GND Pin=F-2
Removed Pin From Net: NetName=GND Pin=F-3
Removed Pin From Net: NetName=Net*1_2 Pin=F-4
Removed Pin From Net: NetName=GND Pin=F-5
Removed Pin From Net: NetName=CTRL1 Pin=J2-2
Removed Pin From Net: NetName=CTRL2 Pin=J2-3
Removed Pin From Net: NetName=Net*_2 Pin=L1-2
Removed Pin From Net: NetName=Net*1_2 Pin=L2-2
Removed Pin From Net: NetName=S\H\D\N\ Pin=R1-1
Removed Pin From Net: NetName=S\H\D\N\ Pin=U3-1
Removed Pin From Net: NetName=GND Pin=U3-2
Removed Pin From Net: NetName=VOUT Pin=U3-3
Removed Pin From Net: NetName=VCC Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U3-5
Removed Pin From Net: NetName=Net*1_5 Pin=U3-6
Removed Member From Class: ClassName=Main Member=F
Removed Member From Class: ClassName=Main Member=U3
Change Component Footprint: Designator=R1 Old Footprint=RESC1609X50X30NL10T20 New Footprint=RESC1005X40X25ML05T05
Change Component Footprint: Designator=C8 Old Footprint=WCAP-CSGP_0603_Reflow New Footprint=CAPC0402(1005)60_M
Change Component Footprint: Designator=C9 Old Footprint=WCAP-CSGP_0603_Reflow New Footprint=CAPC0402(1005)60_M
Change Component Comment : Designator=R1 Old Comment=2k2 New Comment=4k7
Change Component Comment : Designator=C8 Old Comment=10nF New Comment=1.4pF
Change Component Comment : Designator=C9 Old Comment=10nF New Comment=1.4pF
Change Component Comment : Designator=L2 Old Comment=LQP15MN8N2B02D New Comment=6.6nH
Change Component Comment : Designator=L1 Old Comment=LQP15MN8N2B02D New Comment=8.2nH
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C7 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C8 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C9 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=L1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3F7D3D13-8D54-48D5-8CF0-461DC0618A95 Old RevisionGUID= New RevisionGUID=28089CA3-ABB0-448C-BA81-83ACC4F58D73
Change Managed Component Library Link : Designator=L2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3F7D3D13-8D54-48D5-8CF0-461DC0618A95 Old RevisionGUID= New RevisionGUID=28089CA3-ABB0-448C-BA81-83ACC4F58D73
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=344DFA02-B8C5-43FE-8DB2-545ABCB3CF84 Old RevisionGUID= New RevisionGUID=0DBC813C-963B-445E-A628-C2C2F20CF54F
Change component parameters: Designator = "R1" ("R1"); Footprint = "RESC1609X50X30NL10T20"; UniqueID = "\OJHQXVLD" ("\OJHQXVLD")
Added Component: Designator=C14(WCAP-CSGP_0603_Reflow)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance Tolerance"; Value = "+/-10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ceramic Type"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.de"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://katalog.we-online.com/pbs/datasheet/885012206020.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "=<5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm +/-0.07mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Isolation Resistance"; Value = ">=5GOhm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to +125degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "885012206020"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published Date"; Value = "August 2019"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "10VDC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technical Reference"; Value = "X7R0603104K010DFCT10000"; VariantName = "[No Variations]"
Added Component: Designator=C15(CAPC0402(1005)60_M)
Add component (AddParameter): Name = "Case-EIA"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "50 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Added Component: Designator=C16(CAPC0402(1005)60_M)
Add component (AddParameter): Name = "Case-EIA"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "50 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Added Component: Designator=C17(CAPC0402(1005)60_M)
Add component (AddParameter): Name = "Case-EIA"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "50 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Added Component: Designator=F1(B8328)
Added Component: Designator=L3(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L4(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L5(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L6(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L7(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
